# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Index,m:s.ms.us,Dur,Len,Err,S/P,Addr,Record,Data
0,124,0:03.926.885,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 0E 02 C8 01 6F 00 00 00*
0,125,0:03.942.291,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,126,0:03.942.362,49.700 us,1 B,,SP,4B,Read Transaction,01*
0,127,0:03.942.413,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,128,0:03.942.485,318.400 us,11 B,,SP,4B,Read Transaction,01 29 12 02 07 01 01 16 00 00 00*
0,129,0:03.943.346,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,130,0:03.943.418,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,131,0:03.943.469,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,132,0:03.943.540,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 32 02 EA 01 6F 00 00 00*
0,133,0:03.959.744,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,134,0:03.959.815,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,135,0:03.959.866,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,136,0:03.959.938,325.700 us,11 B,,SP,4B,Read Transaction,01 30 91 4E 02 08 02 6A 00 00 00*
0,137,0:03.976.331,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,138,0:03.976.403,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,139,0:03.976.454,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,140,0:03.976.525,325.400 us,11 B,,SP,4B,Read Transaction,01 30 91 6E 02 2A 02 6A 00 00 00*
0,141,0:03.992.746,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,142,0:03.992.817,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,143,0:03.992.869,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,144,0:03.992.940,325.400 us,11 B,,SP,4B,Read Transaction,01 30 91 8D 02 4C 02 71 00 00 00*
0,145,0:04.009.232,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,146,0:04.009.303,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,147,0:04.009.354,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,148,0:04.009.426,325.200 us,11 B,,SP,4B,Read Transaction,01 30 91 A9 02 6B 02 71 00 00 00*
0,149,0:04.025.711,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,150,0:04.025.782,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,151,0:04.025.833,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,152,0:04.025.905,325.400 us,11 B,,SP,4B,Read Transaction,01 30 91 C4 02 8A 02 71 00 00 00*
0,153,0:04.042.217,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,154,0:04.042.288,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,155,0:04.042.339,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,156,0:04.042.411,325.100 us,11 B,,SP,4B,Read Transaction,01 30 91 E4 02 AB 02 71 00 00 00*
0,157,0:04.060.382,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,158,0:04.060.454,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,159,0:04.060.505,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,160,0:04.060.576,325.200 us,11 B,,SP,4B,Read Transaction,01 30 91 03 03 C7 02 71 00 00 00*
0,161,0:04.076.907,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,162,0:04.076.978,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,163,0:04.077.029,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,164,0:04.077.101,325.200 us,11 B,,SP,4B,Read Transaction,01 30 91 1D 03 DD 02 69 00 00 00*
0,165,0:04.093.393,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,166,0:04.093.464,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,167,0:04.093.515,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,168,0:04.093.587,325.200 us,11 B,,SP,4B,Read Transaction,01 30 91 3D 03 F9 02 69 00 00 00*
0,169,0:04.109.890,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,170,0:04.109.962,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,171,0:04.110.013,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,172,0:04.110.084,325.000 us,11 B,,SP,4B,Read Transaction,01 30 91 5D 03 15 03 72 00 00 00*
0,173,0:04.126.367,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,174,0:04.126.439,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,175,0:04.126.490,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,176,0:04.126.561,325.200 us,11 B,,SP,4B,Read Transaction,01 30 91 76 03 2F 03 72 00 00 00*
0,177,0:04.142.817,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,178,0:04.142.889,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,179,0:04.142.940,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,180,0:04.143.011,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 8D 03 4A 03 72 00 00 00*
0,181,0:04.159.308,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,182,0:04.159.379,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,183,0:04.159.430,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,184,0:04.159.502,325.100 us,11 B,,SP,4B,Read Transaction,01 30 91 A6 03 67 03 72 00 00 00*
0,185,0:04.175.890,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,186,0:04.175.962,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,187,0:04.176.013,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,188,0:04.176.084,325.200 us,11 B,,SP,4B,Read Transaction,01 30 91 C2 03 85 03 72 00 00 00*
0,189,0:04.192.294,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,190,0:04.192.365,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,191,0:04.192.416,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,192,0:04.192.488,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 DB 03 9F 03 72 00 00 00*
0,193,0:04.208.785,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,194,0:04.208.856,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,195,0:04.208.908,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,196,0:04.208.979,325.500 us,11 B,,SP,4B,Read Transaction,01 30 91 F5 03 BC 03 6B 00 00 00*
0,197,0:04.226.836,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,198,0:04.226.907,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,199,0:04.226.958,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,200,0:04.227.030,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 13 04 DD 03 75 00 00 00*
0,201,0:04.243.350,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,202,0:04.243.421,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,203,0:04.243.472,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,204,0:04.243.543,325.200 us,11 B,,SP,4B,Read Transaction,01 30 91 33 04 FC 03 75 00 00 00*
0,205,0:04.259.843,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,206,0:04.259.914,49.900 us,1 B,,SP,4B,Read Transaction,01*
0,207,0:04.259.965,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,208,0:04.260.037,325.400 us,11 B,,SP,4B,Read Transaction,01 30 91 50 04 1A 04 6F 00 00 00*
0,209,0:04.276.363,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,210,0:04.276.434,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,211,0:04.276.485,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,212,0:04.276.556,325.200 us,11 B,,SP,4B,Read Transaction,01 30 91 70 04 37 04 6F 00 00 00*
0,213,0:04.292.835,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,214,0:04.292.906,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,215,0:04.292.958,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,216,0:04.293.029,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 96 04 58 04 6F 00 00 00*
0,217,0:04.309.334,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,218,0:04.309.405,49.700 us,1 B,,SP,4B,Read Transaction,01*
0,219,0:04.309.456,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,220,0:04.309.527,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 B5 04 74 04 6F 00 00 00*
0,221,0:04.325.818,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,222,0:04.325.889,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,223,0:04.325.940,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,224,0:04.326.012,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 D6 04 95 04 6F 00 00 00*
0,225,0:04.342.304,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,226,0:04.342.375,49.800 us,1 B,,SP,4B,Read Transaction,01*
