# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Index,m:s.ms.us,Dur,Len,Err,S/P,Addr,Record,Data
0,150,0:07.548.201,49.700 us,1 B,,SP,4B,Read Transaction,01*
0,151,0:07.548.252,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,152,0:07.548.324,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 5B 00 36 0F 29 00 00 00*
0,153,0:07.564.549,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,154,0:07.564.620,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,155,0:07.564.671,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,156,0:07.564.743,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 5D 00 36 0F 29 00 00 00*
0,157,0:07.581.041,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,158,0:07.581.112,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,159,0:07.581.164,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,160,0:07.581.235,325.200 us,11 B,,SP,4B,Read Transaction,01 30 91 5F 00 36 0F 29 00 00 00*
0,161,0:07.597.505,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,162,0:07.597.576,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,163,0:07.597.627,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,164,0:07.597.699,325.000 us,11 B,,SP,4B,Read Transaction,01 30 91 61 00 36 0F 29 00 00 00*
0,165,0:07.613.974,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,166,0:07.614.045,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,167,0:07.614.096,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,168,0:07.614.167,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 62 00 36 0F 2E 00 00 00*
0,169,0:07.630.467,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,170,0:07.630.538,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,171,0:07.630.589,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,172,0:07.630.660,325.500 us,11 B,,SP,4B,Read Transaction,01 30 91 65 00 36 0F 2E 00 00 00*
0,173,0:07.646.949,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,174,0:07.647.020,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,175,0:07.647.071,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,176,0:07.647.143,325.000 us,11 B,,SP,4B,Read Transaction,01 30 91 67 00 36 0F 2E 00 00 00*
0,177,0:07.663.451,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,178,0:07.663.523,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,179,0:07.663.574,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,180,0:07.663.645,324.900 us,11 B,,SP,4B,Read Transaction,01 30 91 6A 00 36 0F 2E 00 00 00*
0,181,0:07.679.933,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,182,0:07.680.005,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,183,0:07.680.056,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,184,0:07.680.127,325.200 us,11 B,,SP,4B,Read Transaction,01 30 91 6D 00 34 0F 2E 00 00 00*
0,185,0:07.698.003,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,186,0:07.698.074,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,187,0:07.698.125,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,188,0:07.698.197,325.400 us,11 B,,SP,4B,Read Transaction,01 30 91 6F 00 34 0F 2E 00 00 00*
0,189,0:07.714.504,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,190,0:07.714.576,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,191,0:07.714.627,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,192,0:07.714.698,325.200 us,11 B,,SP,4B,Read Transaction,01 30 91 71 00 34 0F 2E 00 00 00*
0,193,0:07.731.053,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,194,0:07.731.124,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,195,0:07.731.175,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,196,0:07.731.247,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 73 00 34 0F 2E 00 00 00*
0,197,0:07.747.493,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,198,0:07.747.565,49.700 us,1 B,,SP,4B,Read Transaction,01*
0,199,0:07.747.616,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,200,0:07.747.687,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 75 00 34 0F 2E 00 00 00*
0,201,0:07.763.959,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,202,0:07.764.030,49.700 us,1 B,,SP,4B,Read Transaction,01*
0,203,0:07.764.081,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,204,0:07.764.153,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 76 00 33 0F 2E 00 00 00*
0,205,0:07.780.423,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,206,0:07.780.494,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,207,0:07.780.545,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,208,0:07.780.617,325.100 us,11 B,,SP,4B,Read Transaction,01 30 91 78 00 33 0F 2E 00 00 00*
0,209,0:07.796.894,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,210,0:07.796.965,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,211,0:07.797.016,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,212,0:07.797.088,325.000 us,11 B,,SP,4B,Read Transaction,01 30 91 79 00 33 0F 33 00 00 00*
0,213,0:07.813.364,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,214,0:07.813.435,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,215,0:07.813.486,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,216,0:07.813.558,325.400 us,11 B,,SP,4B,Read Transaction,01 30 91 7B 00 32 0F 33 00 00 00*
0,217,0:07.829.830,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,218,0:07.829.901,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,219,0:07.829.952,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,220,0:07.830.024,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 7D 00 32 0F 33 00 00 00*
0,221,0:07.846.314,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,222,0:07.846.385,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,223,0:07.846.436,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,224,0:07.846.508,325.200 us,11 B,,SP,4B,Read Transaction,01 30 91 80 00 32 0F 33 00 00 00*
0,225,0:07.864.386,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,226,0:07.864.457,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,227,0:07.864.508,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,228,0:07.864.580,325.400 us,11 B,,SP,4B,Read Transaction,01 30 91 83 00 32 0F 3C 00 00 00*
0,229,0:07.880.905,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,230,0:07.880.976,49.700 us,1 B,,SP,4B,Read Transaction,01*
0,231,0:07.881.027,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,232,0:07.881.099,325.400 us,11 B,,SP,4B,Read Transaction,01 30 91 86 00 30 0F 3C 00 00 00*
0,233,0:07.897.397,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,234,0:07.897.468,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,235,0:07.897.520,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,236,0:07.897.591,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 8A 00 2F 0F 3C 00 00 00*
0,237,0:07.913.890,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,238,0:07.913.961,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,239,0:07.914.012,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,240,0:07.914.083,325.100 us,11 B,,SP,4B,Read Transaction,01 30 91 8D 00 2F 0F 3C 00 00 00*
0,241,0:07.930.429,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,242,0:07.930.500,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,243,0:07.930.552,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,244,0:07.930.623,325.000 us,11 B,,SP,4B,Read Transaction,01 30 91 91 00 2E 0F 37 00 00 00*
0,245,0:07.946.867,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,246,0:07.946.939,49.700 us,1 B,,SP,4B,Read Transaction,01*
0,247,0:07.946.990,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,248,0:07.947.061,325.000 us,11 B,,SP,4B,Read Transaction,01 30 91 94 00 2D 0F 37 00 00 00*
0,249,0:07.963.362,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,250,0:07.963.433,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,251,0:07.963.484,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,252,0:07.963.556,324.900 us,11 B,,SP,4B,Read Transaction,01 30 91 96 00 2C 0F 37 00 00 00*
0,253,0:07.979.830,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,254,0:07.979.902,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,255,0:07.979.953,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,256,0:07.980.024,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 9A 00 2C 0F 37 00 00 00*
0,257,0:07.996.322,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,258,0:07.996.393,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,259,0:07.996.444,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,260,0:07.996.516,325.000 us,11 B,,SP,4B,Read Transaction,01 30 91 9D 00 2B 0F 3E 00 00 00*
0,261,0:08.012.815,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,262,0:08.012.886,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,263,0:08.012.937,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,264,0:08.013.009,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 A1 00 2A 0F 45 00 00 00*
0,265,0:08.030.908,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,266,0:08.030.979,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,267,0:08.031.031,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,268,0:08.031.102,325.400 us,11 B,,SP,4B,Read Transaction,01 30 91 A5 00 29 0F 45 00 00 00*
0,269,0:08.047.427,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,270,0:08.047.499,49.700 us,1 B,,SP,4B,Read Transaction,01*
0,271,0:08.047.550,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,272,0:08.047.621,325.200 us,11 B,,SP,4B,Read Transaction,01 30 91 AA 00 27 0F 45 00 00 00*
0,273,0:08.063.921,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,274,0:08.063.992,49.700 us,1 B,,SP,4B,Read Transaction,01*
0,275,0:08.064.043,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,276,0:08.064.115,325.100 us,11 B,,SP,4B,Read Transaction,01 30 91 AF 00 25 0F 4A 00 00 00*
