# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Index,m:s.ms.us,Dur,Len,Err,S/P,Addr,Record,Data
0,93,0:05.471.086,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,94,0:05.471.157,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,95,0:05.471.208,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,96,0:05.471.280,325.400 us,11 B,,SP,4B,Read Transaction,01 30 91 B3 01 22 0F 48 00 00 00*
0,97,0:05.489.175,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,98,0:05.489.247,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,99,0:05.489.298,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,100,0:05.489.369,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 C5 01 1D 0F 4E 00 00 00*
0,101,0:05.505.708,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,102,0:05.505.779,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,103,0:05.505.830,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,104,0:05.505.902,324.800 us,11 B,,SP,4B,Read Transaction,01 30 91 D6 01 18 0F 4E 00 00 00*
0,105,0:05.522.170,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,106,0:05.522.242,49.700 us,1 B,,SP,4B,Read Transaction,01*
0,107,0:05.522.293,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,108,0:05.522.364,325.600 us,11 B,,SP,4B,Read Transaction,01 30 91 E8 01 12 0F 4E 00 00 00*
0,109,0:05.538.674,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,110,0:05.538.746,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,111,0:05.538.797,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,112,0:05.538.868,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 FA 01 0C 0F 4E 00 00 00*
0,113,0:05.555.172,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,114,0:05.555.244,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,115,0:05.555.295,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,116,0:05.555.366,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 0F 02 03 0F 53 00 00 00*
0,117,0:05.571.757,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,118,0:05.571.829,49.800 us,1 B,,SP,4B,Read Transaction,01*
